array_idx,epoch,epoch_loss,epoch_acc
[2],0,0.4989279918372631,0.8046875
[2],1,0.4337080046534538,0.84375
[2],2,0.39663258381187916,0.8515625
[2],3,0.35117287654429674,0.859375
[2],4,0.35618048906326294,0.8515625
[2],5,0.40368416905403137,0.8359375
[2],6,0.32632885966449976,0.890625
[2],7,0.34393583983182907,0.875
[2],8,0.309280046261847,0.890625
[2],9,0.2918800124898553,0.90625
[2],10,0.30549156852066517,0.890625
[2],11,0.29897965327836573,0.890625
[2],12,0.31133993878029287,0.8671875
[2],13,0.3201689107809216,0.8828125
[2],14,0.3227382639888674,0.8359375
[2],15,0.2972339205443859,0.8984375
[2],16,0.29450113303028047,0.8984375
[2],17,0.28224670561030507,0.8984375
[2],18,0.26385417114943266,0.9140625
[2],19,0.26335993874818087,0.921875
[2],20,0.27462537540122867,0.90625
[2],21,0.27874557115137577,0.8828125
[2],22,0.3135208385065198,0.8671875
[2],23,0.3111989554017782,0.8984375
[2],24,0.29740748554468155,0.921875
[2],25,0.2992803114466369,0.890625
[2],26,0.2775962548330426,0.921875
[2],27,0.30415583890862763,0.90625
[2],28,0.29058011464076117,0.9140625
[2],29,0.2899680808186531,0.9140625
[2],30,0.29447494995838497,0.8984375
[2],31,0.302996075944975,0.921875
[2],32,0.2764046674128622,0.8984375
[2],33,0.317127040005289,0.90625
[2],34,0.3490924689976964,0.859375
[2],35,0.3338930462487042,0.890625
[2],36,0.3536135306349024,0.890625
[2],37,0.39546915143728256,0.90625
[2],38,0.4238725285977125,0.8828125
[2],39,0.35061265353579074,0.875
[2],40,0.3664087192155421,0.875
[2],41,0.38702247967012227,0.890625
[2],42,0.3736067185673164,0.875
[2],43,0.3724398713093251,0.8515625
[2],44,0.36240135808475316,0.8828125
[2],45,0.3568134449888021,0.8828125
[2],46,0.36151649395469576,0.8828125
[2],47,0.3422940892050974,0.8984375
[2],48,0.33328082103980705,0.890625
[2],49,0.38337643945124,0.890625
[2],50,0.35957800247706473,0.8828125
[2],51,0.36383330228272825,0.890625
[2],52,0.38050059042871,0.859375
[2],53,0.3963167315814644,0.8828125
[2],54,0.3457997858640738,0.84375
[2],55,0.3618598068715073,0.8828125
[2],56,0.35955003765411675,0.875
[2],57,0.41340236269752495,0.8828125
[2],58,0.4140523626410868,0.8828125
[2],59,0.3992065431230003,0.8828125
[2],60,0.44029151933500543,0.90625
[2],61,0.44270445216534426,0.8828125
[2],62,0.4285092368590995,0.8984375
[2],63,0.48027405646280386,0.890625
[2],64,0.4718628991395235,0.875
[2],65,0.4957180102355778,0.8828125
[2],66,0.4404711062088609,0.890625
[2],67,0.4630702860740712,0.9140625
[2],68,0.4725829460367095,0.921875
[2],69,0.4362678451288957,0.921875
[2],70,0.40760153671726584,0.921875
[2],71,0.38242934735899325,0.921875
[2],72,0.4991131015121937,0.9140625
[2],73,0.41598008293658495,0.90625
[2],74,0.4313395256176591,0.9140625
[2],75,0.4117490383796394,0.8984375
[2],76,0.3909264100366272,0.9140625
[2],77,0.41403961667674594,0.8828125
[2],78,0.41104763161274604,0.890625
[2],79,0.40256116550881416,0.90625
[2],80,0.44039357293513604,0.9140625
[2],81,0.4259224902052665,0.8984375
[2],82,0.49527118884725496,0.9140625
[2],83,0.4883132873219438,0.890625
[2],84,0.5082200516480953,0.890625
[2],85,0.4734131319564767,0.90625
[2],86,0.46159657355747186,0.90625
[2],87,0.47814487053256016,0.8984375
[2],88,0.4975697077861696,0.90625
[2],89,0.44774305402097525,0.921875
[2],90,0.4470823011070024,0.90625
[2],91,0.5080390172661282,0.8984375
[2],92,0.5041071351297433,0.8984375
[2],93,0.5581989827333018,0.90625
[2],94,0.4657042692124378,0.9140625
[2],95,0.5066668727085926,0.9140625
[2],96,0.5210223270114511,0.890625
[2],97,0.5051896755758207,0.90625
[2],98,0.5864093085983768,0.8828125
[2],99,0.49932511217411957,0.90625
[2],100,0.4935884804435773,0.8984375
[2],101,0.526737112471892,0.8828125
[2],102,0.5017814798666222,0.8984375
[2],103,0.5366896220948547,0.8984375
[2],104,0.5287829627850442,0.8828125
[2],105,0.5213112267083488,0.90625
[2],106,0.49573173400131054,0.875
[2],107,0.6115586504456587,0.875
[2],108,0.5148249646226759,0.890625
[2],109,0.5185958295915043,0.8828125
[2],110,0.5615147679054644,0.859375
[2],111,0.5272834322386188,0.8984375
[2],112,0.5019921294151573,0.8984375
[2],113,0.5188669325725641,0.9140625
[2],114,0.4536236462772649,0.90625
[2],115,0.5251784666907042,0.8984375
[2],116,0.5192821491509676,0.890625
[2],117,0.567299447953701,0.8984375
[2],118,0.7386799454689026,0.828125
[2],119,0.6104292646050453,0.8359375
[2],120,0.601042851805687,0.890625
[2],121,0.5203723730519414,0.9140625
[2],122,0.6038361359387636,0.8828125
[2],123,0.670636204071343,0.8984375
[2],124,0.5786093566566706,0.8984375
[2],125,0.5555344056338072,0.890625
[2],126,0.6513631157577038,0.8984375
[2],127,0.5968661149963737,0.875
[2],128,0.6212060367688537,0.8828125
[2],129,0.5612810281454585,0.8828125
[2],130,0.5939209528733045,0.8984375
[2],131,0.6292517474503256,0.8828125
[2],132,0.6583613508846611,0.8984375
[2],133,0.5383575597661547,0.8984375
[2],134,0.5519732562243007,0.8828125
[2],135,0.6340553006157279,0.890625
[2],136,0.6880251597613096,0.8671875
[2],137,0.7348549170419574,0.8515625
[2],138,0.7388836899772286,0.875
[2],139,0.8051134396810085,0.8828125
[2],140,0.741847608005628,0.875
[2],141,0.6524157353414921,0.8828125
[2],142,0.6945215216837823,0.8828125
[2],143,0.7535425666719675,0.875
[2],144,0.8465731330215931,0.8046875
[2],145,0.7002567080780864,0.890625
[2],146,0.6992159727960825,0.8828125
[2],147,0.692032927647233,0.8828125
[2],148,0.7404568297788501,0.8984375
[2],149,0.8191427503770683,0.8671875
[2],150,0.6740583205537405,0.8984375
[2],151,0.7078700723359361,0.8828125
[2],152,0.6813563078758307,0.890625
[2],153,0.7469120982132154,0.8515625
[2],154,0.7601765342988074,0.8671875
[2],155,0.652302373200655,0.8671875
[2],156,0.5821877345442772,0.8671875
[2],157,0.5394871537573636,0.8671875
[2],158,0.7088832687586546,0.8671875
[2],159,0.6184348152019083,0.8828125
[2],160,0.6718912097603607,0.8828125
[2],161,0.51309635672078,0.875
[2],162,0.5118664369256294,0.8671875
[2],163,0.5327995595289394,0.890625
[2],164,0.5844149303156883,0.890625
[2],165,0.5657688232604414,0.875
[2],166,0.6030199229717255,0.8828125
[2],167,0.59877073392272,0.875
[2],168,0.7340019568800926,0.7890625
[2],169,0.6583429910242558,0.8671875
[2],170,0.7061285078525543,0.8828125
[2],171,0.5614028288982809,0.8828125
[2],172,0.5776146042626351,0.875
[2],173,0.5706490343436599,0.8828125
[2],174,0.6796845085918903,0.8984375
[2],175,0.5448819704906782,0.8984375
[2],176,0.5469736402883427,0.8828125
[2],177,0.48552968917647377,0.8828125
[2],178,0.44994371784559917,0.890625
[2],179,0.5373912371578626,0.890625
[2],180,0.5602843810338527,0.8828125
[2],181,0.5805168363731354,0.8671875
[2],182,0.5523351760348305,0.875
[2],183,0.5628689706791192,0.84375
[2],184,0.5849684977438301,0.828125
[2],185,0.527012309525162,0.859375
[2],186,0.6415859421249479,0.859375
[2],187,0.5932256600353867,0.8671875
[2],188,0.5406886351993307,0.8671875
[2],189,0.6448120251297951,0.8125
[2],190,0.6052888408303261,0.8203125
[2],191,0.6412903554737568,0.8828125
[2],192,0.6758310003206134,0.890625
[2],193,0.7734498605132103,0.828125
[2],194,0.5514726378023624,0.8828125
[2],195,0.5506259370595217,0.90625
[2],196,0.5097740655764937,0.8984375
