set,learning_rate,epoch,epoch_loss,epoch_acc
[0],1e-05,0,0.6850445121526718,0.6432291716337204
[0],1e-05,1,0.6617361009120941,0.5807291716337204
[0],1e-05,2,0.6533756405115128,0.6197916716337204
[0],1e-05,3,0.6705819368362427,0.5208333358168602
[0],1e-05,4,0.659625306725502,0.6119791716337204
[0],1e-05,5,0.6937711983919144,0.5442708358168602
[0],1e-05,6,0.7080303728580475,0.6354166716337204
[0],1e-05,7,0.7001882642507553,0.6197916716337204
[0],1e-05,8,0.6891610771417618,0.6119791716337204
[0],1e-05,9,0.7525584399700165,0.6197916716337204
[0],1e-05,10,0.8021560981869698,0.5286458358168602
[0],1e-05,11,0.8311055824160576,0.5364583358168602
[0],1e-05,12,0.9076015651226044,0.5208333358168602
[0],1e-05,13,0.8615652695298195,0.5364583358168602
[0],1e-05,14,0.9009980335831642,0.5442708358168602
[0],1e-05,15,0.936881959438324,0.5364583358168602
[0],1e-05,16,0.8926163613796234,0.6354166716337204
[0],1e-05,17,0.9081599116325378,0.6354166716337204
[0],1e-05,18,0.908275194466114,0.6276041716337204
[0],1e-05,19,0.9458386301994324,0.6119791716337204
[0],1e-05,20,0.974495030939579,0.6354166716337204
[0],1e-05,21,0.9548589959740639,0.6354166716337204
[0],1e-05,22,1.0182984173297882,0.5442708358168602
[0],1e-05,23,1.00179523229599,0.6354166716337204
[0],1e-05,24,0.9490556716918945,0.6432291716337204
[0],1e-05,25,1.0282367318868637,0.6354166716337204
[0],1e-05,26,1.0652460604906082,0.6354166716337204
[0],1e-05,27,1.075955517590046,0.6354166716337204
[0],1e-05,28,1.1013696789741516,0.6276041716337204
[0],1e-05,29,1.0686557814478874,0.6510416716337204
[0],1e-05,30,1.1391388475894928,0.6354166716337204
[0],1e-05,31,1.1502984836697578,0.6354166716337204
[0],1e-05,32,1.0638464912772179,0.6354166716337204
[0],1e-05,33,1.1073974668979645,0.6432291716337204
[0],1e-05,34,1.1279060244560242,0.6432291716337204
[0],1e-05,35,1.14568942040205,0.6354166716337204
[0],1e-05,36,1.118373565375805,0.6276041716337204
[0],1e-05,37,1.1401202082633972,0.6588541716337204
[0],1e-05,38,1.1603150889277458,0.6432291716337204
[0],1e-05,39,1.2159522697329521,0.6354166716337204
[0],1e-05,40,1.2479094341397285,0.5598958358168602
[0],1e-05,41,1.264043539762497,0.5833333358168602
[0],1e-05,42,1.2477711364626884,0.6510416716337204
[0],1e-05,43,1.2008294239640236,0.6822916716337204
[0],1e-05,44,1.2824980467557907,0.5833333358168602
[0],1e-05,45,1.1854691356420517,0.6588541716337204
[0],1e-05,46,1.2253049090504646,0.6822916716337204
[0],1e-05,47,1.2005888223648071,0.6744791716337204
[0],1e-05,48,1.2855142131447792,0.6510416716337204
[0],1e-05,49,1.3190139830112457,0.6510416716337204
[0],1e-05,50,1.3412767052650452,0.6510416716337204
[0],1e-05,51,1.3251525089144707,0.6276041716337204
[0],1e-05,52,1.1427782997488976,0.6588541716337204
[0],1e-05,53,1.187687262892723,0.6666666716337204
[0],1e-05,54,1.2488278076052666,0.6510416716337204
[0],1e-05,55,1.3134432062506676,0.6510416716337204
[0],1e-05,56,1.3182778358459473,0.6666666716337204
[0],1e-05,57,1.2196769267320633,0.6744791716337204
[0],1e-05,58,1.3139111399650574,0.6588541716337204
[0],1e-05,59,1.3128437995910645,0.6588541716337204
[0],1e-05,60,1.2103087902069092,0.6901041716337204
[0],1e-05,61,1.278354324400425,0.6744791716337204
[0],1e-05,62,1.2940110564231873,0.6588541716337204
[0],1e-05,63,1.4215891435742378,0.6744791716337204
[0],1e-05,64,1.3401223942637444,0.6666666716337204
[0],1e-05,65,1.324882633984089,0.6666666716337204
[0],1e-05,66,1.300083190202713,0.7057291716337204
[0],1e-05,67,1.3112255483865738,0.6510416716337204
[0],1e-05,68,1.447907879948616,0.6901041716337204
