set,learning_rate,epoch,epoch_loss,epoch_acc
[0],5e-05,0,0.6211395561695099,0.4895833358168602
[0],5e-05,1,0.8010451197624207,0.5598958358168602
[0],5e-05,2,0.9823185727000237,0.5442708358168602
[0],5e-05,3,1.1481803357601166,0.5677083358168602
[0],5e-05,4,0.9384413287043571,0.5989583358168602
[0],5e-05,5,1.0440224781632423,0.6067708358168602
[0],5e-05,6,1.0637270361185074,0.5989583358168602
[0],5e-05,7,1.282198816537857,0.5911458358168602
[0],5e-05,8,1.5030553191900253,0.5677083358168602
[0],5e-05,9,1.2304092198610306,0.5911458358168602
[0],5e-05,10,1.3488790765404701,0.5833333358168602
[0],5e-05,11,1.7823960110545158,0.5520833358168602
[0],5e-05,12,1.625211976468563,0.5911458358168602
[0],5e-05,13,1.3710474520921707,0.5989583358168602
[0],5e-05,14,1.7096273675560951,0.6302083358168602
[0],5e-05,15,1.5942775905132294,0.6666666716337204
[0],5e-05,16,1.6842994950711727,0.5833333358168602
[0],5e-05,17,1.0186247825622559,0.6901041716337204
[0],5e-05,18,1.3059981726109982,0.6822916716337204
[0],5e-05,19,1.5201861187815666,0.6432291716337204
[0],5e-05,20,1.5629463270306587,0.6588541716337204
[0],5e-05,21,1.5214124843478203,0.6744791716337204
[0],5e-05,22,1.8816194906830788,0.6822916716337204
[0],5e-05,23,1.7886350229382515,0.6979166716337204
[0],5e-05,24,1.3839870393276215,0.6666666716337204
[0],5e-05,25,1.5200878009200096,0.6744791716337204
[0],5e-05,26,1.461848147213459,0.6822916716337204
[0],5e-05,27,1.7989030480384827,0.6822916716337204
[0],5e-05,28,1.2615602910518646,0.6744791716337204
[0],5e-05,29,1.4511405378580093,0.6744791716337204
[0],5e-05,30,1.7310020085424185,0.5833333358168602
[0],5e-05,31,1.4990221709012985,0.5989583358168602
[0],5e-05,32,1.2449263334274292,0.6979166716337204
[0],5e-05,33,1.4852105118334293,0.5911458358168602
[0],5e-05,34,1.5631388910114765,0.5989583358168602
[0],5e-05,35,1.3996252194046974,0.5989583358168602
[0],5e-05,36,1.6268649362027645,0.6067708358168602
[0],5e-05,37,1.5757974684238434,0.6822916716337204
[0],5e-05,38,1.5285006612539291,0.6744791716337204
[0],5e-05,39,1.6147985309362411,0.7057291716337204
[0],5e-05,40,1.7157566249370575,0.6822916716337204
[0],5e-05,41,1.5776997543871403,0.6744791716337204
[0],5e-05,42,1.642886582762003,0.7057291716337204
[0],5e-05,43,1.5039249062538147,0.6744791716337204
