set,learning_rate,epoch,epoch_loss,epoch_acc
[4],5e-05,0,0.6464469134807587,0.5234375
[4],5e-05,1,0.6708070933818817,0.6171875
[4],5e-05,2,0.7346060127019882,0.5859375
[4],5e-05,3,0.7856708765029907,0.5859375
[4],5e-05,4,0.8611991032958031,0.625
[4],5e-05,5,1.1855300776660442,0.5546875
[4],5e-05,6,1.1377739906311035,0.5703125
[4],5e-05,7,1.0884388834238052,0.5703125
[4],5e-05,8,1.0824525952339172,0.65625
[4],5e-05,9,1.479273971170187,0.625
[4],5e-05,10,1.215321883559227,0.625
[4],5e-05,11,1.2564499638974667,0.609375
[4],5e-05,12,1.444843053817749,0.5703125
[4],5e-05,13,1.540571492165327,0.6484375
[4],5e-05,14,1.9963297303766012,0.578125
[4],5e-05,15,1.7669180445373058,0.59375
[4],5e-05,16,1.7706570848822594,0.5859375
[4],5e-05,17,2.0114808045327663,0.5859375
[4],5e-05,18,1.6489042155444622,0.640625
[4],5e-05,19,1.3490982800722122,0.6484375
[4],5e-05,20,2.1110664308071136,0.5703125
[4],5e-05,21,1.5548055469989777,0.5390625
[4],5e-05,22,1.774094082415104,0.6328125
[4],5e-05,23,2.039560303092003,0.578125
[4],5e-05,24,1.5890635028481483,0.625
[4],5e-05,25,1.3853297531604767,0.625
[4],5e-05,26,1.7853658013045788,0.5859375
[4],5e-05,27,1.425455816090107,0.6640625
[4],5e-05,28,1.6031716763973236,0.6015625
[4],5e-05,29,1.9488462656736374,0.625
[4],5e-05,30,2.757994256913662,0.5859375
[4],5e-05,31,2.0861472114920616,0.609375
[4],5e-05,32,1.3881506323814392,0.6328125
[4],5e-05,33,1.3904379047453403,0.6484375
[4],5e-05,34,1.7668480351567268,0.546875
[4],5e-05,35,1.5522172451019287,0.625
[4],5e-05,36,1.3586875349283218,0.5703125
[4],5e-05,37,1.3281723037362099,0.59375
[4],5e-05,38,1.294789895415306,0.6171875
[4],5e-05,39,1.4435607828199863,0.6015625
[4],5e-05,40,1.3862372040748596,0.609375
[4],5e-05,41,1.1891441643238068,0.6015625
[4],5e-05,42,1.6283284947276115,0.59375
[4],5e-05,43,1.1592649519443512,0.59375
[4],5e-05,44,1.256682239472866,0.6171875
[4],5e-05,45,1.2203468829393387,0.6015625
[4],5e-05,46,1.2170181311666965,0.6015625
