set,learning_rate,epoch,epoch_loss,epoch_acc
[5],5e-05,0,0.5137033835053444,0.7578125
[5],5e-05,1,0.5247465595602989,0.6953125
[5],5e-05,2,0.5638497620820999,0.7109375
[5],5e-05,3,0.5231631472706795,0.7734375
[5],5e-05,4,0.529091689735651,0.7421875
[5],5e-05,5,0.6679405644536018,0.7890625
[5],5e-05,6,0.6232511587440968,0.7734375
[5],5e-05,7,0.616671733558178,0.765625
[5],5e-05,8,0.6084159016609192,0.7734375
[5],5e-05,9,0.5649404153227806,0.7890625
[5],5e-05,10,0.6117074973881245,0.828125
[5],5e-05,11,0.6683535687625408,0.796875
[5],5e-05,12,0.7241249121725559,0.7421875
[5],5e-05,13,0.8487405218183994,0.765625
[5],5e-05,14,0.77569180727005,0.7265625
[5],5e-05,15,0.8816267549991608,0.703125
[5],5e-05,16,1.0310938553884625,0.6875
[5],5e-05,17,0.9224657528102398,0.78125
[5],5e-05,18,0.9304911978542805,0.7578125
[5],5e-05,19,0.933135636150837,0.78125
[5],5e-05,20,0.8941946178674698,0.7734375
[5],5e-05,21,0.9099414264783263,0.734375
[5],5e-05,22,0.804054968059063,0.7734375
[5],5e-05,23,0.845216903835535,0.7890625
[5],5e-05,24,1.1534501649439335,0.75
[5],5e-05,25,1.1178852394223213,0.7734375
[5],5e-05,26,0.8341475985944271,0.828125
[5],5e-05,27,0.7084994176402688,0.8125
[5],5e-05,28,0.6727521577849984,0.8046875
[5],5e-05,29,0.43831950426101685,0.8125
[5],5e-05,30,0.45967545360326767,0.8515625
[5],5e-05,31,0.4752163030207157,0.875
[5],5e-05,32,0.5940276551991701,0.84375
[5],5e-05,33,0.5407175775617361,0.796875
[5],5e-05,34,0.49641114100813866,0.8125
[5],5e-05,35,0.4885964170098305,0.828125
[5],5e-05,36,0.4554021991789341,0.8984375
[5],5e-05,37,0.43677210807800293,0.890625
[5],5e-05,38,0.39162662625312805,0.8984375
[5],5e-05,39,0.40856286883354187,0.875
[5],5e-05,40,0.4098597392439842,0.875
[5],5e-05,41,0.40670473873615265,0.8671875
[5],5e-05,42,0.40333055704832077,0.90625
[5],5e-05,43,0.4439565949141979,0.828125
[5],5e-05,44,0.6136911325156689,0.828125
[5],5e-05,45,0.6224053874611855,0.8203125
[5],5e-05,46,0.5952396020293236,0.8359375
[5],5e-05,47,0.5482685044407845,0.8203125
[5],5e-05,48,0.5197953060269356,0.8125
[5],5e-05,49,0.5025091543793678,0.8203125
[5],5e-05,50,0.505996398627758,0.8203125
[5],5e-05,51,0.5322833508253098,0.8203125
[5],5e-05,52,0.516490750014782,0.8203125
[5],5e-05,53,0.52824617177248,0.8203125
[5],5e-05,54,0.5662360042333603,0.8203125
[5],5e-05,55,0.57383231818676,0.8203125
[5],5e-05,56,0.5259685032069683,0.8125
[5],5e-05,57,0.5412353128194809,0.828125
[5],5e-05,58,0.5658844113349915,0.8203125
[5],5e-05,59,0.5544708520174026,0.8125
[5],5e-05,60,0.53546342253685,0.8125
[5],5e-05,61,0.5360423885285854,0.8046875
[5],5e-05,62,0.5398787148296833,0.8828125
[5],5e-05,63,0.5189666301012039,0.8828125
[5],5e-05,64,0.5232059508562088,0.8828125
[5],5e-05,65,0.5029737874865532,0.890625
[5],5e-05,66,0.5103864222764969,0.890625
[5],5e-05,67,0.47120513021945953,0.890625
[5],5e-05,68,0.47315213829278946,0.90625
[5],5e-05,69,0.4509446881711483,0.921875
[5],5e-05,70,0.4638014156371355,0.9140625
[5],5e-05,71,0.48058473505079746,0.8984375
[5],5e-05,72,0.5861957296729088,0.8125
[5],5e-05,73,0.5965935699641705,0.8125
[5],5e-05,74,0.5628586895763874,0.8125
[5],5e-05,75,0.5645958818495274,0.8125
[5],5e-05,76,0.5578776467591524,0.8203125
[5],5e-05,77,0.5801466219127178,0.8125
[5],5e-05,78,0.5896565280854702,0.8203125
[5],5e-05,79,0.5965058617293835,0.875
[5],5e-05,80,0.6007646806538105,0.8046875
[5],5e-05,81,0.5910150408744812,0.8125
[5],5e-05,82,0.5992661081254482,0.8203125
[5],5e-05,83,0.6135012824088335,0.8671875
[5],5e-05,84,0.5903697684407234,0.875
[5],5e-05,85,0.601862357929349,0.859375
[5],5e-05,86,0.5886126905679703,0.8671875
[5],5e-05,87,0.5945405382663012,0.8671875
[5],5e-05,88,0.5814976003021002,0.859375
[5],5e-05,89,0.5712451990693808,0.8671875
[5],5e-05,90,0.5613442994654179,0.875
[5],5e-05,91,0.5663101300597191,0.859375
[5],5e-05,92,0.5489128157496452,0.875
[5],5e-05,93,0.5829980187118053,0.875
[5],5e-05,94,0.5560643970966339,0.8125
[5],5e-05,95,0.5810243375599384,0.8203125
[5],5e-05,96,0.5807459000498056,0.8671875
[5],5e-05,97,0.5917761698365211,0.8046875
[5],5e-05,98,0.5937374979257584,0.8203125
[5],5e-05,99,0.5852774567902088,0.859375
[5],5e-05,100,0.5728744752705097,0.8046875
[5],5e-05,101,0.5958805698901415,0.8515625
[5],5e-05,102,0.5872225845232606,0.859375
[5],5e-05,103,0.5953314229846001,0.8046875
[5],5e-05,104,0.5810064040124416,0.8671875
[5],5e-05,105,0.5892129689455032,0.8671875
[5],5e-05,106,0.6131079643964767,0.8671875
[5],5e-05,107,0.6039782017469406,0.8046875
[5],5e-05,108,0.6004591211676598,0.8203125
[5],5e-05,109,0.5884000025689602,0.8203125
[5],5e-05,110,0.6169342622160912,0.8125
[5],5e-05,111,0.6310445889830589,0.8046875
[5],5e-05,112,0.6135528571903706,0.8046875
[5],5e-05,113,0.6266941353678703,0.8125
[5],5e-05,114,0.6451969668269157,0.8046875
[5],5e-05,115,0.600660465657711,0.8125
[5],5e-05,116,0.6139607168734074,0.8046875
[5],5e-05,117,0.6203044429421425,0.8125
[5],5e-05,118,0.6378443986177444,0.8046875
[5],5e-05,119,0.6544356718659401,0.8046875
[5],5e-05,120,0.664911288768053,0.8125
[5],5e-05,121,0.6227366626262665,0.8125
[5],5e-05,122,0.6538795083761215,0.8046875
[5],5e-05,123,0.6621877141296864,0.8125
[5],5e-05,124,0.6500019170343876,0.8046875
[5],5e-05,125,0.64370546489954,0.8046875
[5],5e-05,126,0.6534968931227922,0.796875
[5],5e-05,127,0.7039007470011711,0.8203125
[5],5e-05,128,0.6567874923348427,0.8046875
[5],5e-05,129,0.6905525624752045,0.8203125
[5],5e-05,130,0.6942224856466055,0.8203125
[5],5e-05,131,0.7168846018612385,0.8203125
[5],5e-05,132,0.6986132115125656,0.8046875
[5],5e-05,133,0.6618490554392338,0.8203125
[5],5e-05,134,0.6983470749109983,0.8203125
[5],5e-05,135,0.6864455752074718,0.828125
[5],5e-05,136,0.6694787666201591,0.828125
[5],5e-05,137,0.6584965065121651,0.8203125
[5],5e-05,138,0.6654955297708511,0.8203125
[5],5e-05,139,0.6631081141531467,0.828125
[5],5e-05,140,0.6962877586483955,0.8203125
[5],5e-05,141,0.6554202660918236,0.828125
[5],5e-05,142,0.6413314137607813,0.8203125
[5],5e-05,143,0.6492723524570465,0.8203125
[5],5e-05,144,0.673218123614788,0.828125
[5],5e-05,145,0.6766154021024704,0.8203125
[5],5e-05,146,0.636136993765831,0.828125
[5],5e-05,147,0.6803066469728947,0.8359375
[5],5e-05,148,0.647617232054472,0.8203125
[5],5e-05,149,0.6643868908286095,0.8203125
[5],5e-05,150,0.6826561577618122,0.828125
[5],5e-05,151,0.6728722006082535,0.828125
[5],5e-05,152,0.67301856726408,0.828125
[5],5e-05,153,0.6845386885106564,0.8203125
[5],5e-05,154,0.6412982754409313,0.828125
[5],5e-05,155,0.6817983090877533,0.828125
[5],5e-05,156,0.6539021208882332,0.828125
[5],5e-05,157,0.6827357113361359,0.8203125
[5],5e-05,158,0.6583270952105522,0.828125
[5],5e-05,159,0.6417873110622168,0.8203125
[5],5e-05,160,0.6346544250845909,0.8828125
[5],5e-05,161,0.6076731234788895,0.875
[5],5e-05,162,0.6034296527504921,0.828125
[5],5e-05,163,0.6227127630263567,0.8828125
[5],5e-05,164,0.6557989940047264,0.828125
[5],5e-05,165,0.6219796128571033,0.828125
[5],5e-05,166,0.6160613484680653,0.890625
[5],5e-05,167,0.6168070808053017,0.8359375
[5],5e-05,168,0.6235250905156136,0.8984375
[5],5e-05,169,0.6296101436018944,0.828125
[5],5e-05,170,0.6370573462918401,0.828125
[5],5e-05,171,0.621881878003478,0.890625
[5],5e-05,172,2.3304737079888582,0.6953125
[5],5e-05,173,0.6279624179005623,0.78125
[5],5e-05,174,0.8519124621525407,0.796875
[5],5e-05,175,0.5002517983084545,0.7734375
[5],5e-05,176,0.5347871137782931,0.828125
[5],5e-05,177,0.8869741442613304,0.7265625
[5],5e-05,178,0.7163431644439697,0.828125
[5],5e-05,179,0.8087478745728731,0.78125
[5],5e-05,180,0.6437883395701647,0.8515625
[5],5e-05,181,0.37805851735174656,0.8515625
[5],5e-05,182,0.7152352111879736,0.84375
[5],5e-05,183,0.4463039147667587,0.8671875
[5],5e-05,184,0.5313575905747712,0.84375
[5],5e-05,185,0.45315659255720675,0.8671875
[5],5e-05,186,0.3603311888873577,0.8125
[5],5e-05,187,0.37678932771086693,0.875
[5],5e-05,188,0.3917929343879223,0.875
[5],5e-05,189,0.38507830537855625,0.828125
[5],5e-05,190,1.1094920973991975,0.796875
[5],5e-05,191,1.5078387381545326,0.796875
[5],5e-05,192,1.5501923591364175,0.796875
[5],5e-05,193,1.3293619909672998,0.8046875
[5],5e-05,194,1.3304319258386386,0.796875
[5],5e-05,195,1.2330934067285853,0.8046875
[5],5e-05,196,1.0901777187682455,0.8125
[5],5e-05,197,1.1482977576670237,0.828125
[5],5e-05,198,1.100786513008643,0.8203125
[5],5e-05,199,1.0983967948122881,0.828125
[5],5e-05,200,1.1450633921194822,0.8046875
[5],5e-05,201,1.1075345667777583,0.8203125
[5],5e-05,202,1.202724394359393,0.8046875
[5],5e-05,203,1.2288383468840038,0.796875
[5],5e-05,204,1.1361612538748886,0.796875
[5],5e-05,205,1.1439777544292156,0.8125
[5],5e-05,206,1.0685751571436413,0.8359375
[5],5e-05,207,1.0704190825344995,0.828125
[5],5e-05,208,1.1713365111500025,0.8203125
[5],5e-05,209,1.0001085504190996,0.84375
[5],5e-05,210,1.1566905105282785,0.828125
[5],5e-05,211,1.1776061921045766,0.796875
[5],5e-05,212,1.1495944848575164,0.828125
[5],5e-05,213,1.1018763512547594,0.8203125
[5],5e-05,214,1.0601759189448785,0.8125
[5],5e-05,215,1.0400477550574578,0.8203125
[5],5e-05,216,1.0915585845214082,0.828125
[5],5e-05,217,1.1993405922185048,0.8203125
[5],5e-05,218,0.9929537634016015,0.84375
[5],5e-05,219,1.025342742097564,0.84375
[5],5e-05,220,0.9151995521970093,0.84375
[5],5e-05,221,0.9098534160875715,0.84375
[5],5e-05,222,0.852397398557514,0.8515625
[5],5e-05,223,0.95567934011342,0.84375
[5],5e-05,224,0.9713309742510319,0.84375
[5],5e-05,225,0.8678012385498732,0.84375
[5],5e-05,226,0.8513823878893163,0.828125
[5],5e-05,227,0.8683778221311513,0.828125
[5],5e-05,228,0.6787373677361757,0.84375
[5],5e-05,229,0.871850518436986,0.828125
[5],5e-05,230,0.776398120331578,0.84375
[5],5e-05,231,0.7235093513736501,0.8359375
[5],5e-05,232,0.8201339750085026,0.828125
[5],5e-05,233,0.7921886777912732,0.8359375
[5],5e-05,234,0.5818180851638317,0.8828125
[5],5e-05,235,0.9876237092539668,0.828125
[5],5e-05,236,0.9715365907177329,0.8359375
[5],5e-05,237,0.9275609604083002,0.828125
[5],5e-05,238,0.8846093346364796,0.828125
[5],5e-05,239,0.8507259371690452,0.828125
[5],5e-05,240,0.8612889191135764,0.8359375
[5],5e-05,241,0.8487947760149837,0.765625
[5],5e-05,242,0.8762433133088052,0.765625
[5],5e-05,243,0.8313254686072469,0.7734375
[5],5e-05,244,0.8516171183437109,0.8359375
[5],5e-05,245,0.8788747270591557,0.8359375
[5],5e-05,246,0.8837594781070948,0.7734375
[5],5e-05,247,0.8625133647583425,0.8359375
[5],5e-05,248,0.8476442326791584,0.84375
[5],5e-05,249,0.8930817381478846,0.765625
[5],5e-05,250,0.9213764183223248,0.84375
[5],5e-05,251,0.8214229550212622,0.7734375
[5],5e-05,252,0.9405791386961937,0.765625
[5],5e-05,253,0.8913901299238205,0.828125
[5],5e-05,254,0.814474253449589,0.8359375
[5],5e-05,255,0.9543145424686372,0.8359375
[5],5e-05,256,0.8545043235644698,0.8359375
[5],5e-05,257,0.8723044916987419,0.8359375
[5],5e-05,258,0.8528208397328854,0.7734375
[5],5e-05,259,0.8840621868148446,0.828125
[5],5e-05,260,0.8767401501536369,0.84375
[5],5e-05,261,0.8908940544351935,0.828125
[5],5e-05,262,0.7347636143676937,0.8046875
[5],5e-05,263,0.7524074772372842,0.8515625
[5],5e-05,264,0.7347932229749858,0.859375
