set,learning_rate,epoch,epoch_loss,epoch_acc
[0],0.001,0,4.070125019169268,0.6328125
[0],0.001,1,0.5870095267891884,0.7057291716337204
[0],0.001,2,0.7107693701982498,0.6744791716337204
[0],0.001,3,1.0037692356854677,0.6901041716337204
[0],0.001,4,1.2248981408774853,0.6744791716337204
[0],0.001,5,1.5500425696372986,0.5755208358168602
[0],0.001,6,1.1912479549646378,0.5520833358168602
[0],0.001,7,1.5475964955985546,0.5911458358168602
[0],0.001,8,1.7164700627326965,0.6510416716337204
[0],0.001,9,1.425752580165863,0.7291666716337204
[0],0.001,10,1.63255063444376,0.6901041716337204
[0],0.001,11,1.8757355511188507,0.5
[0],0.001,12,1.5435034036636353,0.6041666716337204
[0],0.001,13,1.8906328678131104,0.6588541716337204
[0],0.001,14,1.952451840043068,0.5286458358168602
[0],0.001,15,1.4534994140267372,0.6666666716337204
[0],0.001,16,1.4968989789485931,0.6276041716337204
[0],0.001,17,1.6749643832445145,0.6510416716337204
[0],0.001,18,1.5564879402518272,0.6979166716337204
[0],0.001,19,2.1759557127952576,0.4609375
[0],0.001,20,1.8497726917266846,0.5677083358168602
[0],0.001,21,1.2869491875171661,0.6901041716337204
[0],0.001,22,1.2625684440135956,0.6901041716337204
[0],0.001,23,1.5873998180031776,0.6145833358168602
[0],0.001,24,1.763099605217576,0.6145833358168602
[0],0.001,25,1.8948367582634091,0.6145833358168602
[0],0.001,26,2.1602792628109455,0.6067708358168602
[0],0.001,27,1.15220489166677,0.7734375
[0],0.001,28,1.7383152544498444,0.6510416716337204
[0],0.001,29,1.707708764821291,0.5677083358168602
[0],0.001,30,1.218212440609932,0.6510416716337204
[0],0.001,31,1.7004976347088814,0.6510416716337204
[0],0.001,32,1.5580610185861588,0.6119791716337204
[0],0.001,33,1.9413849376142025,0.6223958358168602
[0],0.001,34,2.004579946398735,0.7135416716337204
[0],0.001,35,1.64666061475873,0.5833333358168602
[0],0.001,36,2.3250579237937927,0.6588541716337204
[0],0.001,37,1.4957139566540718,0.6145833358168602
[0],0.001,38,1.983716618269682,0.6145833358168602
[0],0.001,39,1.9006915092468262,0.6067708358168602
[0],0.001,40,2.7025120705366135,0.5833333358168602
[0],0.001,41,1.8265611976385117,0.5677083358168602
[0],0.001,42,1.868455857038498,0.5755208358168602
[0],0.001,43,2.3696063458919525,0.5598958358168602
[0],0.001,44,3.131353385746479,0.5364583358168602
[0],0.001,45,2.760495662689209,0.4375
[0],0.001,46,1.113088697195053,0.6901041716337204
[0],0.001,47,2.252263341099024,0.5598958358168602
[0],0.001,48,1.0535283163189888,0.7213541716337204
[0],0.001,49,1.3686273023486137,0.6979166716337204
[0],0.001,50,1.8466372191905975,0.6822916716337204
[0],0.001,51,1.6888194307684898,0.6979166716337204
[0],0.001,52,1.8276236429810524,0.6979166716337204
[0],0.001,53,1.6285996362566948,0.6979166716337204
[0],0.001,54,1.6844204813241959,0.7057291716337204
[0],0.001,55,1.903925471007824,0.7057291716337204
[0],0.001,56,1.7363315224647522,0.7135416716337204
[0],0.001,57,1.8099140301346779,0.7291666716337204
[0],0.001,58,1.7918273471295834,0.7135416716337204
[0],0.001,59,1.9184018447995186,0.6901041716337204
[0],0.001,60,1.852692387998104,0.7135416716337204
[0],0.001,61,1.8798271641135216,0.7057291716337204
[0],0.001,62,2.0216809399425983,0.6979166716337204
[0],0.001,63,2.005987700074911,0.7057291716337204
[0],0.001,64,2.003359854221344,0.7057291716337204
[0],0.001,65,2.000051110982895,0.7135416716337204
[0],0.001,66,2.062168948352337,0.6979166716337204
[0],0.001,67,2.0803380869328976,0.7057291716337204
[0],0.001,68,2.1165977753698826,0.7057291716337204
[0],0.001,69,1.9997559934854507,0.7213541716337204
[0],0.001,70,2.123054653406143,0.7135416716337204
[0],0.001,71,2.0744460858404636,0.7135416716337204
[0],0.001,72,2.3880411870777607,0.6822916716337204
[0],0.001,73,2.8850305564701557,0.5833333358168602
[0],0.001,74,1.952412873506546,0.5755208358168602
[0],0.001,75,1.648257803171873,0.6901041716337204
[0],0.001,76,1.269049528054893,0.75
[0],0.001,77,1.9223591014742851,0.5989583358168602
[0],0.001,78,1.9958805181086063,0.5911458358168602
[0],0.001,79,1.9030347093939781,0.5390625
[0],0.001,80,1.6938969120383263,0.7057291716337204
[0],0.001,81,2.029865577816963,0.6744791716337204
[0],0.001,82,2.4504400864243507,0.5677083358168602
[0],0.001,83,2.1615006774663925,0.6510416716337204
[0],0.001,84,2.1955557242035866,0.6510416716337204
[0],0.001,85,2.1058464646339417,0.6744791716337204
[0],0.001,86,2.1390795409679413,0.6822916716337204
[0],0.001,87,2.2729006707668304,0.6666666716337204
[0],0.001,88,1.8001391291618347,0.6979166716337204
[0],0.001,89,2.804187521338463,0.6354166716337204
[0],0.001,90,4.122309267986566,0.46875
[0],0.001,91,0.9245311319828033,0.7135416716337204
[0],0.001,92,1.4182132333517075,0.6822916716337204
[0],0.001,93,1.827149547636509,0.6510416716337204
[0],0.001,94,2.007633551955223,0.6432291716337204
[0],0.001,95,2.0036225616931915,0.6666666716337204
[0],0.001,96,2.866208925843239,0.5598958358168602
[0],0.001,97,1.3927170038223267,0.6744791716337204
[0],0.001,98,1.9832798428833485,0.6510416716337204
[0],0.001,99,1.7940701022744179,0.7057291716337204
[0],0.001,100,2.1474370062351227,0.6145833358168602
[0],0.001,101,1.1976887732744217,0.7213541716337204
[0],0.001,102,2.4615348801016808,0.5234375
[0],0.001,103,1.9873989559710026,0.6145833358168602
[0],0.001,104,1.6899723634123802,0.6901041716337204
[0],0.001,105,2.299203723669052,0.6302083358168602
[0],0.001,106,2.4229749143123627,0.6380208358168602
[0],0.001,107,2.5225410535931587,0.6302083358168602
[0],0.001,108,2.624332696199417,0.6302083358168602
[0],0.001,109,2.758386854082346,0.6302083358168602
[0],0.001,110,3.036487899720669,0.6302083358168602
[0],0.001,111,2.930889915674925,0.6302083358168602
[0],0.001,112,2.8309025019407272,0.6302083358168602
[0],0.001,113,2.637907274067402,0.6302083358168602
[0],0.001,114,2.6463509500026703,0.6380208358168602
[0],0.001,115,2.609554313123226,0.6380208358168602
[0],0.001,116,2.69541434943676,0.6380208358168602
[0],0.001,117,2.8230150267481804,0.6458333358168602
[0],0.001,118,2.831095963716507,0.6458333358168602
[0],0.001,119,2.8346874862909317,0.6380208358168602
[0],0.001,120,2.982290968298912,0.6380208358168602
[0],0.001,121,2.820033259689808,0.6380208358168602
[0],0.001,122,2.784480720758438,0.6380208358168602
[0],0.001,123,2.9060806706547737,0.6380208358168602
[0],0.001,124,3.1249731853604317,0.6302083358168602
[0],0.001,125,2.955204725265503,0.6458333358168602
[0],0.001,126,2.809016339480877,0.6380208358168602
[0],0.001,127,2.78390384465456,0.6458333358168602
[0],0.001,128,2.9371765851974487,0.6458333358168602
[0],0.001,129,2.978633016347885,0.6302083358168602
[0],0.001,130,2.9190224409103394,0.6458333358168602
[0],0.001,131,2.872555583715439,0.6380208358168602
[0],0.001,132,2.874720335006714,0.6380208358168602
[0],0.001,133,2.917589120566845,0.6380208358168602
[0],0.001,134,3.040136594325304,0.6302083358168602
[0],0.001,135,3.1105237677693367,0.6302083358168602
[0],0.001,136,3.0319025218486786,0.6458333358168602
[0],0.001,137,2.8021689131855965,0.6380208358168602
[0],0.001,138,2.957437425851822,0.6302083358168602
[0],0.001,139,2.9613164365291595,0.6380208358168602
[0],0.001,140,3.1001549437642097,0.6380208358168602
[0],0.001,141,3.016461193561554,0.6380208358168602
[0],0.001,142,2.84280589222908,0.6380208358168602
[0],0.001,143,3.0794603377580643,0.6458333358168602
[0],0.001,144,2.8447615280747414,0.6380208358168602
[0],0.001,145,2.9692444652318954,0.6380208358168602
[0],0.001,146,3.10095277428627,0.6380208358168602
[0],0.001,147,2.918104499578476,0.6380208358168602
[0],0.001,148,2.8052383065223694,0.6380208358168602
[0],0.001,149,2.951520912349224,0.6380208358168602
[0],0.001,150,2.933442436158657,0.6458333358168602
[0],0.001,151,2.972719721496105,0.6458333358168602
[0],0.001,152,3.0266719833016396,0.6380208358168602
[0],0.001,153,3.0708698630332947,0.6380208358168602
[0],0.001,154,3.0484538674354553,0.6458333358168602
[0],0.001,155,3.078215628862381,0.6458333358168602
[0],0.001,156,3.327834464609623,0.6380208358168602
[0],0.001,157,3.2717866376042366,0.6380208358168602
[0],0.001,158,3.1895542070269585,0.6458333358168602
[0],0.001,159,3.028073787689209,0.6536458358168602
[0],0.001,160,3.108744129538536,0.6458333358168602
[0],0.001,161,3.11429825425148,0.6380208358168602
[0],0.001,162,3.1983863934874535,0.6380208358168602
[0],0.001,163,3.051955856382847,0.6458333358168602
[0],0.001,164,3.282769113779068,0.6380208358168602
[0],0.001,165,3.3001381158828735,0.6302083358168602
[0],0.001,166,3.170567572116852,0.6458333358168602
[0],0.001,167,3.2737765461206436,0.6458333358168602
[0],0.001,168,3.454271748661995,0.6458333358168602
[0],0.001,169,3.1579193845391273,0.6458333358168602
[0],0.001,170,3.0575097426772118,0.6458333358168602
[0],0.001,171,3.1577417105436325,0.6458333358168602
[0],0.001,172,3.271426923573017,0.6458333358168602
[0],0.001,173,3.3204773366451263,0.6458333358168602
[0],0.001,174,3.2879382222890854,0.6380208358168602
[0],0.001,175,3.3662159517407417,0.6458333358168602
[0],0.001,176,3.2840118408203125,0.6458333358168602
[0],0.001,177,3.3925641253590584,0.6380208358168602
[0],0.001,178,3.249140292406082,0.6458333358168602
[0],0.001,179,3.1553072333335876,0.6458333358168602
[0],0.001,180,3.22286769002676,0.6458333358168602
[0],0.001,181,3.2042709812521935,0.6458333358168602
[0],0.001,182,3.191696472465992,0.6458333358168602
[0],0.001,183,3.1837293282151222,0.6458333358168602
[0],0.001,184,3.2955624163150787,0.6458333358168602
[0],0.001,185,3.342128925025463,0.6458333358168602
[0],0.001,186,2.367360308766365,0.6276041716337204
[0],0.001,187,195.75929073616862,0.6953125
[0],0.001,188,1.0668468624353409,0.5286458358168602
[0],0.001,189,1.1271949857473373,0.6588541716337204
[0],0.001,190,1.607355460524559,0.6588541716337204
[0],0.001,191,2.695719763636589,0.5208333358168602
[0],0.001,192,1.3722566755022854,0.6875
[0],0.001,193,5.215163044631481,0.65625
[0],0.001,194,1.9017320424318314,0.453125
[0],0.001,195,1.1011803075671196,0.6744791716337204
[0],0.001,196,1.3753299713134766,0.5130208358168602
[0],0.001,197,1.3885026723146439,0.5208333358168602
[0],0.001,198,1.930182695388794,0.5442708358168602
[0],0.001,199,2.3221806325018406,0.46875
[0],0.001,200,1.5659103244543076,0.5885416716337204
[0],0.001,201,1.844279795885086,0.5364583358168602
[0],0.001,202,1.3228255808353424,0.6354166716337204
[0],0.001,203,2.1158262491226196,0.5286458358168602
[0],0.001,204,2.1882801353931427,0.5442708358168602
[0],0.001,205,1.696608692407608,0.5598958358168602
[0],0.001,206,1.615185096859932,0.5833333358168602
[0],0.001,207,1.63197061419487,0.6666666716337204
[0],0.001,208,1.8360301107168198,0.6432291716337204
[0],0.001,209,2.0760731548070908,0.6432291716337204
[0],0.001,210,1.9772358685731888,0.6901041716337204
[0],0.001,211,1.8276639878749847,0.7213541716337204
[0],0.001,212,2.0646824836730957,0.6510416716337204
[0],0.001,213,1.7362441569566727,0.6744791716337204
[0],0.001,214,1.7906081900000572,0.6510416716337204
[0],0.001,215,2.1738241761922836,0.6354166716337204
[0],0.001,216,2.226013481616974,0.6041666716337204
[0],0.001,217,2.505119353532791,0.6041666716337204
[0],0.001,218,2.272712543606758,0.6197916716337204
