set,learning_rate,epoch,epoch_loss,epoch_acc
[2],0.0005,0,0.8769350575748831,0.7734375
[2],0.0005,1,0.3512492832960561,0.8359375
[2],0.0005,2,0.537235751748085,0.75
[2],0.0005,3,0.4376923607196659,0.875
[2],0.0005,4,0.8860170245170593,0.734375
[2],0.0005,5,0.5118060803324624,0.796875
[2],0.0005,6,0.506233919877559,0.9140625
[2],0.0005,7,0.41988627426326275,0.8515625
[2],0.0005,8,0.38588039902970195,0.8828125
[2],0.0005,9,0.5980579744209535,0.84375
[2],0.0005,10,0.5382594982802402,0.875
[2],0.0005,11,0.6864684744791703,0.8828125
[2],0.0005,12,0.7102165147107371,0.875
[2],0.0005,13,0.4197435309179127,0.8515625
[2],0.0005,14,0.5182565841823816,0.8359375
[2],0.0005,15,0.414380091446219,0.8671875
[2],0.0005,16,0.525320358558929,0.84375
[2],0.0005,17,0.5221742833155076,0.8515625
[2],0.0005,18,0.41904750306275673,0.8828125
[2],0.0005,19,0.5026870742203755,0.8671875
[2],0.0005,20,0.5149723487120355,0.859375
[2],0.0005,21,0.511425079406763,0.8828125
[2],0.0005,22,0.9953199122101068,0.8046875
[2],0.0005,23,0.5943091814406216,0.859375
[2],0.0005,24,0.6067393012344837,0.8125
[2],0.0005,25,0.7616360299289227,0.7890625
[2],0.0005,26,0.48355273256311193,0.8671875
[2],0.0005,27,0.7515332246584876,0.828125
[2],0.0005,28,0.5556247483473271,0.8359375
[2],0.0005,29,0.7967917630448937,0.8515625
[2],0.0005,30,0.7866594698280096,0.8359375
[2],0.0005,31,0.9181016162037849,0.7734375
[2],0.0005,32,1.049704447388649,0.8125
[2],0.0005,33,0.9126435369253159,0.7890625
[2],0.0005,34,0.9818722903728485,0.78125
[2],0.0005,35,0.8382785618305206,0.8125
[2],0.0005,36,0.9465187126770616,0.8046875
[2],0.0005,37,0.5444732350297272,0.84375
[2],0.0005,38,0.6175702355685644,0.8515625
[2],0.0005,39,0.6021208600141108,0.875
[2],0.0005,40,0.6496578216319904,0.8515625
[2],0.0005,41,0.7254082569343154,0.8359375
[2],0.0005,42,0.6097405965992948,0.828125
[2],0.0005,43,0.7086701392545365,0.8203125
[2],0.0005,44,0.7683170954696834,0.8359375
[2],0.0005,45,0.7648878023028374,0.7890625
[2],0.0005,46,0.6288690958172083,0.8203125
[2],0.0005,47,0.5577778518199921,0.875
[2],0.0005,48,0.6640779797453433,0.8359375
[2],0.0005,49,0.6600963268429041,0.8515625
[2],0.0005,50,0.6878743711858988,0.84375
[2],0.0005,51,0.7958229322684929,0.828125
[2],0.0005,52,0.5130634158846021,0.8828125
[2],0.0005,53,0.561575613915906,0.859375
[2],0.0005,54,0.4854467958199393,0.875
[2],0.0005,55,0.6163821983427624,0.8515625
[2],0.0005,56,0.7537670338351745,0.859375
[2],0.0005,57,0.9274311289191246,0.75
[2],0.0005,58,0.8141963335219771,0.859375
[2],0.0005,59,1.0710730636492372,0.8203125
[2],0.0005,60,0.8714303765445948,0.859375
[2],0.0005,61,0.7831473788246512,0.8671875
[2],0.0005,62,0.812842451967299,0.8671875
[2],0.0005,63,0.8490533642470837,0.859375
[2],0.0005,64,0.8327733930200338,0.859375
[2],0.0005,65,0.886915436014533,0.859375
[2],0.0005,66,0.8875847235321999,0.859375
[2],0.0005,67,0.8659012890420854,0.8515625
[2],0.0005,68,0.7516374881379306,0.8671875
[2],0.0005,69,0.7636866334360093,0.8671875
[2],0.0005,70,0.7732220034813508,0.8828125
[2],0.0005,71,0.6929714749567211,0.8984375
[2],0.0005,72,0.8118589956093274,0.8828125
[2],0.0005,73,0.8326256424044232,0.8671875
[2],0.0005,74,0.796762764095547,0.84375
[2],0.0005,75,0.7081856280565262,0.78125
[2],0.0005,76,0.5045317132025957,0.890625
[2],0.0005,77,0.5470949648879468,0.875
[2],0.0005,78,0.6559311854070984,0.84375
[2],0.0005,79,0.8204207941889763,0.796875
[2],0.0005,80,0.8659602398984134,0.8203125
[2],0.0005,81,0.7039631090592593,0.8515625
[2],0.0005,82,0.541803929991147,0.859375
[2],0.0005,83,0.7961234403774142,0.859375
[2],0.0005,84,0.8253216417506337,0.8359375
[2],0.0005,85,0.722764328122139,0.75
[2],0.0005,86,0.5463569175917655,0.8828125
[2],0.0005,87,0.694969427306205,0.8046875
[2],0.0005,88,0.8195915492833592,0.765625
[2],0.0005,89,0.7369380368600105,0.8203125
