set,learning_rate,epoch,epoch_loss,epoch_acc
[4],1e-05,0,0.6993801593780518,0.6171875
[4],1e-05,1,0.692524865269661,0.53125
[4],1e-05,2,0.6802578419446945,0.5703125
[4],1e-05,3,0.6861367076635361,0.5234375
[4],1e-05,4,0.6907604485750198,0.5703125
[4],1e-05,5,0.6684296578168869,0.59375
[4],1e-05,6,0.6874268352985382,0.6015625
[4],1e-05,7,0.6831380873918533,0.59375
[4],1e-05,8,0.7061751186847687,0.59375
[4],1e-05,9,0.7381108850240707,0.59375
[4],1e-05,10,0.7295732423663139,0.6015625
[4],1e-05,11,0.7606067135930061,0.609375
[4],1e-05,12,0.7898994386196136,0.6171875
[4],1e-05,13,0.7668588235974312,0.609375
[4],1e-05,14,0.8039165064692497,0.625
[4],1e-05,15,0.8114499300718307,0.609375
[4],1e-05,16,0.8498861417174339,0.6171875
[4],1e-05,17,0.8885790258646011,0.625
[4],1e-05,18,0.9046646952629089,0.6171875
[4],1e-05,19,0.8997528031468391,0.6015625
[4],1e-05,20,0.8698052614927292,0.5859375
[4],1e-05,21,0.931674174964428,0.6171875
[4],1e-05,22,0.9588638246059418,0.59375
[4],1e-05,23,0.9835804998874664,0.6015625
[4],1e-05,24,1.0862037912011147,0.6171875
[4],1e-05,25,1.0098383724689484,0.6015625
[4],1e-05,26,0.9599412679672241,0.609375
[4],1e-05,27,1.059156060218811,0.609375
[4],1e-05,28,1.07872474193573,0.6171875
[4],1e-05,29,1.052406907081604,0.6015625
[4],1e-05,30,1.1732688322663307,0.6171875
[4],1e-05,31,1.0973754227161407,0.6171875
[4],1e-05,32,1.1059841215610504,0.625
[4],1e-05,33,1.2054706811904907,0.6015625
[4],1e-05,34,1.207585722208023,0.6171875
[4],1e-05,35,1.1397748813033104,0.6015625
[4],1e-05,36,1.2251760810613632,0.59375
[4],1e-05,37,1.1818793565034866,0.625
[4],1e-05,38,0.9919634312391281,0.6875
[4],1e-05,39,1.1425805389881134,0.6171875
[4],1e-05,40,1.2156198620796204,0.609375
[4],1e-05,41,1.326997958123684,0.59375
[4],1e-05,42,1.3198739513754845,0.6015625
[4],1e-05,43,1.3494587391614914,0.609375
[4],1e-05,44,1.2339479103684425,0.6171875
[4],1e-05,45,1.2581497877836227,0.609375
[4],1e-05,46,1.2170021831989288,0.5859375
[4],1e-05,47,1.252124011516571,0.6015625
[4],1e-05,48,1.2956637740135193,0.609375
[4],1e-05,49,1.3267510011792183,0.59375
[4],1e-05,50,1.3359337598085403,0.59375
[4],1e-05,51,1.3794232234358788,0.6015625
[4],1e-05,52,1.2138393074274063,0.625
