set,learning_rate,epoch,epoch_loss,epoch_acc
[0],0.0005,0,1.637722671031952,0.5
[0],0.0005,1,0.8439504206180573,0.6145833358168602
[0],0.0005,2,1.6920872386544943,0.6302083358168602
[0],0.0005,3,1.8178983367979527,0.6302083358168602
[0],0.0005,4,2.370961230248213,0.5911458358168602
[0],0.0005,5,1.683448150753975,0.6458333358168602
[0],0.0005,6,1.2082071229815483,0.6979166716337204
[0],0.0005,7,1.7093233168125153,0.6145833358168602
[0],0.0005,8,1.184077650308609,0.7369791716337204
[0],0.0005,9,1.2386823408305645,0.6614583358168602
[0],0.0005,10,1.4356510639190674,0.6302083358168602
[0],0.0005,11,1.1061039101332426,0.6927083358168602
[0],0.0005,12,1.017430940642953,0.6614583358168602
[0],0.0005,13,1.3921512505039573,0.6692708358168602
[0],0.0005,14,1.229236263781786,0.6536458358168602
[0],0.0005,15,1.6907136016525328,0.6145833358168602
[0],0.0005,16,1.606185857206583,0.6380208358168602
[0],0.0005,17,1.4104634746909142,0.6536458358168602
[0],0.0005,18,1.6472475165501237,0.6536458358168602
[0],0.0005,19,1.2267492562532425,0.6979166716337204
[0],0.0005,20,1.1943811103701591,0.5390625
[0],0.0005,21,1.3843059092760086,0.6145833358168602
[0],0.0005,22,1.88037833198905,0.5546875
[0],0.0005,23,1.1296798139810562,0.7526041716337204
[0],0.0005,24,1.848169483244419,0.5625
[0],0.0005,25,2.012862715870142,0.5911458358168602
[0],0.0005,26,0.7341322526335716,0.7135416716337204
[0],0.0005,27,1.0911954753100872,0.7604166716337204
[0],0.0005,28,1.7556336354464293,0.6536458358168602
[0],0.0005,29,2.076990194618702,0.6145833358168602
[0],0.0005,30,2.1986585967242718,0.5625
[0],0.0005,31,3.589590364601463,0.5078125
[0],0.0005,32,1.7916719689965248,0.6145833358168602
[0],0.0005,33,2.563443463295698,0.53125
[0],0.0005,34,1.5776969939470291,0.5625
[0],0.0005,35,1.9530025571584702,0.5625
[0],0.0005,36,2.559147782623768,0.5546875
[0],0.0005,37,1.6497077345848083,0.6380208358168602
[0],0.0005,38,1.8288232386112213,0.6458333358168602
[0],0.0005,39,1.8896040618419647,0.6536458358168602
[0],0.0005,40,1.8812620714306831,0.6536458358168602
[0],0.0005,41,1.8169105798006058,0.6614583358168602
[0],0.0005,42,1.9146912544965744,0.6536458358168602
[0],0.0005,43,2.0807613506913185,0.6536458358168602
[0],0.0005,44,2.042717881500721,0.6536458358168602
[0],0.0005,45,1.9836075082421303,0.6536458358168602
[0],0.0005,46,2.1461558043956757,0.6536458358168602
[0],0.0005,47,2.0377210155129433,0.6536458358168602
[0],0.0005,48,2.1287822127342224,0.6536458358168602
[0],0.0005,49,2.227153144776821,0.5625
[0],0.0005,50,2.2951807379722595,0.5703125
[0],0.0005,51,2.0501822233200073,0.6536458358168602
[0],0.0005,52,2.242809720337391,0.6536458358168602
[0],0.0005,53,2.2890663370490074,0.6536458358168602
[0],0.0005,54,2.3080911934375763,0.6458333358168602
[0],0.0005,55,2.3127896785736084,0.6458333358168602
[0],0.0005,56,2.3001261427998543,0.6458333358168602
[0],0.0005,57,2.3124228343367577,0.5703125
[0],0.0005,58,2.421046704053879,0.5625
[0],0.0005,59,2.4141192585229874,0.5546875
[0],0.0005,60,2.5118943378329277,0.5546875
[0],0.0005,61,2.3450269550085068,0.6536458358168602
[0],0.0005,62,2.3746815845370293,0.5625
[0],0.0005,63,2.315475009381771,0.6536458358168602
[0],0.0005,64,2.327986031770706,0.6536458358168602
[0],0.0005,65,2.3101372122764587,0.6536458358168602
[0],0.0005,66,2.316734403371811,0.578125
[0],0.0005,67,2.330569811165333,0.6536458358168602
[0],0.0005,68,2.4055517464876175,0.5703125
[0],0.0005,69,2.2570685744285583,0.6614583358168602
[0],0.0005,70,2.8227068036794662,0.6458333358168602
[0],0.0005,71,2.381833106279373,0.6223958358168602
[0],0.0005,72,1.171414166688919,0.6223958358168602
[0],0.0005,73,1.3310569673776627,0.7135416716337204
[0],0.0005,74,1.2296086475253105,0.7135416716337204
[0],0.0005,75,3.05634624697268,0.5078125
[0],0.0005,76,1.956492304801941,0.6901041716337204
[0],0.0005,77,1.649951547384262,0.6067708358168602
[0],0.0005,78,1.9692757055163383,0.6302083358168602
[0],0.0005,79,2.313330005854368,0.4921875
[0],0.0005,80,2.074891649186611,0.6380208358168602
[0],0.0005,81,2.665530499070883,0.5911458358168602
[0],0.0005,82,1.524223953485489,0.5598958358168602
[0],0.0005,83,2.286078229546547,0.484375
[0],0.0005,84,1.5307422429323196,0.6979166716337204
[0],0.0005,85,1.6248449683189392,0.6979166716337204
[0],0.0005,86,1.7549682296812534,0.6822916716337204
[0],0.0005,87,1.7082529664039612,0.6067708358168602
[0],0.0005,88,1.9337743017822504,0.5546875
[0],0.0005,89,1.9741865769028664,0.546875
[0],0.0005,90,2.4222930409014225,0.5546875
[0],0.0005,91,2.365283653140068,0.53125
[0],0.0005,92,2.20805474370718,0.578125
[0],0.0005,93,2.7174431420862675,0.5546875
[0],0.0005,94,2.5257876999676228,0.5546875
[0],0.0005,95,2.4625363647937775,0.5546875
[0],0.0005,96,2.74072552472353,0.5625
[0],0.0005,97,2.6334343776106834,0.5625
[0],0.0005,98,2.845402806997299,0.5625
[0],0.0005,99,2.995116613805294,0.5703125
[0],0.0005,100,2.9339205250144005,0.5703125
[0],0.0005,101,2.8867195397615433,0.5703125
[0],0.0005,102,2.9130280409008265,0.5703125
[0],0.0005,103,3.050581121817231,0.5703125
[0],0.0005,104,2.88225544244051,0.5703125
[0],0.0005,105,2.947060201317072,0.5703125
[0],0.0005,106,2.958025872707367,0.5703125
[0],0.0005,107,3.2036328464746475,0.5625
[0],0.0005,108,3.2198363398201764,0.5625
[0],0.0005,109,3.1979737328365445,0.5625
[0],0.0005,110,3.104059119708836,0.5546875
[0],0.0005,111,2.6779751032590866,0.5546875
[0],0.0005,112,2.533807262778282,0.5625
[0],0.0005,113,2.551317371428013,0.546875
[0],0.0005,114,2.657969579100609,0.546875
[0],0.0005,115,2.5732157677412033,0.546875
[0],0.0005,116,2.7040240690112114,0.546875
[0],0.0005,117,2.7508315965533257,0.5546875
