set,learning_rate,epoch,epoch_loss,epoch_acc
[1],1e-05,0,0.6964796036481857,0.5484375059604645
[1],1e-05,1,0.7197594046592712,0.5140625014901161
[1],1e-05,2,0.7105413377285004,0.5140625014901161
[1],1e-05,3,0.7226047068834305,0.5296875014901161
[1],1e-05,4,0.7219622284173965,0.5765625014901161
[1],1e-05,5,0.7335106283426285,0.5453125014901161
[1],1e-05,6,0.7688804715871811,0.5531250014901161
[1],1e-05,7,0.8006426692008972,0.5453125014901161
[1],1e-05,8,0.8154697716236115,0.5531250014901161
[1],1e-05,9,0.8245853781700134,0.6187500059604645
[1],1e-05,10,0.8918403685092926,0.5921875014901161
[1],1e-05,11,0.8981967568397522,0.5609375014901161
[1],1e-05,12,0.9577609375119209,0.5687500014901161
[1],1e-05,13,0.9896497502923012,0.5421875007450581
[1],1e-05,14,1.027887150645256,0.5765625014901161
[1],1e-05,15,1.0345085263252258,0.5765625014901161
[1],1e-05,16,1.046799123287201,0.6078125014901161
[1],1e-05,17,1.0648683905601501,0.6000000014901161
[1],1e-05,18,1.1050013154745102,0.6078125014901161
[1],1e-05,19,1.0849030017852783,0.5843750014901161
[1],1e-05,20,1.0623648017644882,0.6078125014901161
[1],1e-05,21,1.1308634132146835,0.5843750014901161
[1],1e-05,22,1.1325066089630127,0.6078125014901161
[1],1e-05,23,1.0940099507570267,0.5453125014901161
[1],1e-05,24,1.1341760456562042,0.6000000014901161
[1],1e-05,25,1.2032777816057205,0.5921875014901161
[1],1e-05,26,1.1748733818531036,0.6000000014901161
[1],1e-05,27,1.1323224008083344,0.6000000014901161
[1],1e-05,28,1.2248427122831345,0.5765625014901161
[1],1e-05,29,1.2284166812896729,0.6078125014901161
[1],1e-05,30,1.253719374537468,0.6156250014901161
[1],1e-05,31,1.2234836965799332,0.6000000014901161
[1],1e-05,32,1.2748038917779922,0.6000000014901161
[1],1e-05,33,1.2468891143798828,0.6000000014901161
[1],1e-05,34,1.2456071078777313,0.6078125014901161
[1],1e-05,35,1.2457931339740753,0.6156250014901161
[1],1e-05,36,1.2508799731731415,0.6578125059604645
[1],1e-05,37,1.2605555951595306,0.6156250014901161
[1],1e-05,38,1.3973989486694336,0.6000000014901161
[1],1e-05,39,1.3160476833581924,0.6000000014901161
