array_idx,epoch,epoch_loss,epoch_acc
[1],0,0.7417633086442947,0.5140625014901161
[1],1,0.766635075211525,0.5296875014901161
[1],2,0.8157625496387482,0.4453125
[1],3,0.7559821456670761,0.5609375014901161
[1],4,0.7568145841360092,0.5921875014901161
[1],5,0.9838408604264259,0.5500000007450581
[1],6,0.8001208901405334,0.5687500014901161
[1],7,0.7139024585485458,0.5562500059604645
[1],8,0.7561190500855446,0.5640625059604645
[1],9,0.8317060470581055,0.6203125007450581
[1],10,0.8982225582003593,0.6703125014901161
[1],11,0.8102171868085861,0.5500000007450581
[1],12,0.7910250425338745,0.5890625007450581
[1],13,0.9027068093419075,0.53125
[1],14,0.9034493938088417,0.5078125
[1],15,0.7047492265701294,0.6203125007450581
[1],16,0.7326623499393463,0.6125000007450581
[1],17,0.7931548058986664,0.6281250007450581
[1],18,0.7104815989732742,0.6046875007450581
[1],19,0.6692429706454277,0.6578125059604645
[1],20,0.6664372086524963,0.6703125014901161
[1],21,0.6652644500136375,0.7046875059604645
[1],22,0.6926636397838593,0.6312500014901161
[1],23,0.6609276384115219,0.6312500014901161
[1],24,0.715340368449688,0.6703125014901161
[1],25,0.6438379064202309,0.6703125014901161
[1],26,0.6777845621109009,0.6812500059604645
[1],27,0.6941836327314377,0.6656250059604645
[1],28,0.6933409869670868,0.6625000014901161
[1],29,0.6983000859618187,0.6546875014901161
[1],30,0.7296578586101532,0.6125000007450581
[1],31,0.6550394520163536,0.6468750014901161
[1],32,0.6402940154075623,0.6265625059604645
[1],33,0.638579323887825,0.6390625014901161
[1],34,0.7027726769447327,0.6234375014901161
[1],35,0.707353487610817,0.6312500014901161
[1],36,0.815399594604969,0.6390625014901161
[1],37,0.7695375680923462,0.6234375014901161
[1],38,0.7285979613661766,0.6312500014901161
[1],39,0.7062436491250992,0.6625000014901161
[1],40,0.7093459889292717,0.7125000059604645
[1],41,0.6681784316897392,0.6546875014901161
[1],42,0.6911547780036926,0.6625000014901161
[1],43,0.7442103549838066,0.6468750014901161
[1],44,0.7343798279762268,0.6625000014901161
[1],45,0.7086143642663956,0.6859375014901161
[1],46,0.6993371769785881,0.6937500014901161
[1],47,0.6892679706215858,0.6859375014901161
[1],48,0.6809733957052231,0.6781250014901161
[1],49,0.6588331907987595,0.7359375059604645
[1],50,0.6833047419786453,0.6359375007450581
[1],51,0.6793401688337326,0.6125000007450581
[1],52,0.6831483244895935,0.6625000014901161
[1],53,0.6636422276496887,0.6703125014901161
[1],54,0.6298614740371704,0.6859375014901161
[1],55,0.6495789289474487,0.6968750059604645
[1],56,0.6935061737895012,0.6703125014901161
[1],57,0.7283268496394157,0.6859375014901161
[1],58,0.7491064071655273,0.6437500007450581
[1],59,0.679613746702671,0.6859375014901161
[1],60,0.65251774340868,0.6781250014901161
[1],61,0.71235341578722,0.6781250014901161
[1],62,0.7452636361122131,0.6593750007450581
[1],63,0.6702578291296959,0.7203125059604645
[1],64,0.6581265181303024,0.7015625014901161
[1],65,0.6282446831464767,0.6859375014901161
[1],66,0.6566687002778053,0.7015625014901161
[1],67,0.5776882916688919,0.6703125014901161
[1],68,0.6132964566349983,0.7312500029802322
[1],69,0.6335553824901581,0.6781250014901161
[1],70,0.6176486611366272,0.6546875014901161
[1],71,0.63290736079216,0.7046875059604645
[1],72,0.6461316868662834,0.6968750059604645
[1],73,0.6188622564077377,0.7203125059604645
[1],74,0.7096689939498901,0.7203125059604645
[1],75,0.723727360367775,0.7078125029802322
[1],76,0.9627417027950287,0.6734375059604645
[1],77,0.7023290395736694,0.6890625059604645
[1],78,0.6131889522075653,0.7515625059604645
[1],79,0.5804836750030518,0.7437500059604645
[1],80,0.5671999603509903,0.7281250059604645
[1],81,0.6071198061108589,0.6703125014901161
[1],82,0.6484589502215385,0.6703125014901161
[1],83,0.6546809375286102,0.6046875007450581
[1],84,0.7514267712831497,0.6515625007450581
[1],85,0.7429555132985115,0.6937500014901161
[1],86,0.7820140346884727,0.6125000007450581
[1],87,0.6185529977083206,0.7125000059604645
[1],88,0.6301750540733337,0.7359375059604645
[1],89,0.5859146863222122,0.7281250059604645
[1],90,0.7790420949459076,0.7359375059604645
[1],91,0.726167768239975,0.7437500059604645
[1],92,0.6540648937225342,0.7437500059604645
[1],93,0.7359672039747238,0.7281250059604645
[1],94,0.7104600369930267,0.7203125059604645
[1],95,0.7771275341510773,0.7359375059604645
[1],96,0.7573980242013931,0.6671875007450581
[1],97,0.7536842077970505,0.6593750007450581
[1],98,0.9129349440336227,0.6171875
[1],99,0.7181625515222549,0.6750000007450581
[1],100,0.7224646806716919,0.7203125059604645
[1],101,0.5983119904994965,0.7125000059604645
[1],102,0.5954710692167282,0.7125000059604645
[1],103,0.5722141489386559,0.7281250059604645
[1],104,0.5995267033576965,0.7203125059604645
[1],105,0.669763594865799,0.6468750014901161
[1],106,0.7538823634386063,0.6671875007450581
[1],107,0.7517434433102608,0.6593750007450581
[1],108,0.7522678002715111,0.6828125007450581
[1],109,0.7163412198424339,0.6750000007450581
[1],110,0.7243614792823792,0.6828125007450581
[1],111,0.690883107483387,0.609375
[1],112,0.6035595834255219,0.7125000059604645
[1],113,0.5817133337259293,0.6968750059604645
[1],114,0.5980543568730354,0.6781250014901161
[1],115,0.676302544772625,0.6281250007450581
[1],116,0.7130710110068321,0.6359375007450581
[1],117,0.5951913520693779,0.6703125014901161
[1],118,0.7572361454367638,0.6437500007450581
[1],119,0.6347155123949051,0.6515625007450581
[1],120,0.7652440667152405,0.6593750007450581
[1],121,0.7644925341010094,0.6515625007450581
[1],122,0.8437826111912727,0.59375
[1],123,0.8485947102308273,0.7015625014901161
[1],124,0.8539506494998932,0.6515625007450581
[1],125,0.8338956907391548,0.6593750007450581
[1],126,0.6748682707548141,0.6937500014901161
[1],127,0.9301525205373764,0.6671875007450581
[1],128,0.8242698237299919,0.7171875014901161
[1],129,0.8980826586484909,0.6937500014901161
[1],130,0.8916914537549019,0.7093750014901161
[1],131,1.0454826951026917,0.7015625014901161
